Data;Ora;Girone;Casa;Fuori
2026-06-11;21:00;A;Messico;Sudafrica
2026-06-12;04:00;A;Corea del Sud;Cechia
2026-06-12;21:00;B;Canada;Bosnia
2026-06-13;03:00;D;USA;Paraguay
2026-06-13;21:00;B;Qatar;Svizzera
2026-06-14;00:00;C;Brasile;Marocco
2026-06-14;03:00;C;Haiti;Scozia
2026-06-14;06:00;D;Australia;Turchia
2026-06-14;19:00;E;Germania;Curacao
2026-06-14;22:00;F;Olanda;Giappone
2026-06-15;01:00;E;Costa d Avorio;Ecuador
2026-06-15;04:00;F;Svezia;Tunisia
2026-06-15;18:00;H;Spagna;Capo Verde
2026-06-15;21:00;G;Belgio;Egitto
2026-06-16;00:00;H;Arabia Saudita;Uruguay
2026-06-16;03:00;G;Iran;Nuova Zelanda
2026-06-16;21:00;I;Francia;Senegal
2026-06-17;00:00;I;Iraq;Norvegia
2026-06-17;03:00;J;Argentina;Algeria
2026-06-17;06:00;J;Austria;Giordania
2026-06-17;19:00;K;Portogallo;DR Congo
2026-06-17;22:00;L;Inghilterra;Croazia
2026-06-18;01:00;L;Ghana;Panama
2026-06-18;04:00;K;Uzbekistan;Colombia
2026-06-18;18:00;A;Cechia;Sudafrica
2026-06-18;21:00;B;Svizzera;Bosnia
2026-06-19;00:00;B;Canada;Qatar
2026-06-19;03:00;A;Messico;Corea del Sud
2026-06-19;21:00;D;USA;Australia
2026-06-20;00:00;C;Scozia;Marocco
2026-06-20;02:30;C;Brasile;Haiti
2026-06-20;05:00;D;Turchia;Paraguay
2026-06-20;19:00;F;Olanda;Svezia
2026-06-20;22:00;E;Germania;Costa d Avorio
2026-06-21;02:00;E;Ecuador;Curacao
2026-06-21;06:00;F;Tunisia;Giappone
2026-06-21;18:00;H;Spagna;Arabia Saudita
2026-06-21;21:00;G;Belgio;Iran
2026-06-22;00:00;H;Uruguay;Capo Verde
2026-06-22;03:00;G;Nuova Zelanda;Egitto
2026-06-22;19:00;J;Argentina;Austria
2026-06-22;23:00;I;Francia;Iraq
2026-06-23;02:00;I;Norvegia;Senegal
